x_slam y_slam yaw_imu x_odom y_odom
6 6 -3.76635e-07 -3.00002 1
6 6 -3.03322e-06 -3.00002 1
6 6 -1.22584e-06 -3.00002 1
6 6 5.81634e-07 -3.00002 1
6 6 2.38914e-06 -3.00002 1
6 6 4.19667e-06 -3.00002 1
6 6 6.00422e-06 -3.00002 1
6 6 7.81181e-06 -3.00002 1
6 6 9.61942e-06 -3.00002 1
6 6 1.14271e-05 -3.00002 1
6 6 1.32347e-05 -3.00002 1
6 6 1.50424e-05 -3.00002 1
6 6 1.68501e-05 -3.00002 1
6 6 1.86578e-05 -3.00002 1
6 6 2.04656e-05 -3.00002 1
6 6 2.22734e-05 -3.00002 1
6 6 2.40812e-05 -3.00002 1
6 6 2.5889e-05 -3.00002 1
6 6 2.76969e-05 -3.00002 1
6 6 2.95048e-05 -3.00002 1
6 6 3.13127e-05 -3.00002 1
6 6 3.31206e-05 -3.00002 1
6 6 3.49286e-05 -3.00002 1
6 6 3.67366e-05 -3.00002 1
6 6 3.85446e-05 -3.00002 1
6 6 4.03526e-05 -3.00002 1
6 6 4.21607e-05 -3.00002 1
6 6 4.39687e-05 -3.00002 1
6 6 4.57769e-05 -3.00002 1
6 6 4.7585e-05 -3.00002 1
6 6 4.93931e-05 -3.00002 1
6 6 5.12013e-05 -3.00002 1
6 6 5.30095e-05 -3.00002 1
6 6 5.4863e-05 -3.00002 1
6 6 5.6626e-05 -3.00002 1
6 6 5.84343e-05 -3.00002 1
6 6 6.02426e-05 -3.00002 1
6 6 6.2051e-05 -3.00002 1
6 6 6.38593e-05 -3.00002 1
6 6 6.56677e-05 -3.00002 1
6 6 6.74761e-05 -3.00002 1
6 6 6.92393e-05 -3.00002 1
6 6 7.11382e-05 -3.00002 1.00001
6 6 7.29467e-05 -3.00002 1.00001
6 6 7.471e-05 -3.00002 1.00001
6 6 7.65638e-05 -3.00002 1.00001
6 6 7.83271e-05 -3.00002 1.00001
6 6 8.01809e-05 -3.00002 1.00001
6 6 8.19895e-05 -3.00002 1.00001
6 6 8.37981e-05 -3.00002 1.00001
6 6 8.56068e-05 -3.00002 1.00001
6 6 8.74155e-05 -3.00002 1.00001
6 6 8.92242e-05 -3.00002 1.00001
6 6 9.10329e-05 -3.00002 1.00001
6 6 9.28417e-05 -3.00002 1.00001
6 6 9.46505e-05 -3.00002 1.00001
6 6 9.64593e-05 -3.00002 1.00001
6 6 9.8789e-05 -2.9997 1.00001
6 6 0.000102825 -2.99788 1.00001
6.05 6 0.000107829 -2.99588 1.00001
6.05 6 0.000113024 -2.99046 1.00001
6.05 6 9.82368e-05 -2.97808 1.00001
6.05 6 7.02257e-05 -2.9591 1.00001
6.05 6 0.00156067 -2.94008 1.0001
6.05 6 0.00244532 -2.90883 1.00017
6.05 6 0.00262384 -2.8693 1.00027
6.05 6 0.00310422 -2.82537 1.00039
6.1 6 0.00314237 -2.78138 1.00053
6.1 6 0.00336006 -2.73738 1.00067
6.2 6 0.00368597 -2.69343 1.00083
6.2 6 0.00365334 -2.64941 1.00099
6.25 6 0.00428085 -2.60548 1.00116
6.25 6 0.00427965 -2.56148 1.00135
6.35 5.95 0.00491544 -2.52478 1.0015
6.35 5.95 0.0049572 -2.4808 1.00172
6.45 5.95 0.00504273 -2.43679 1.00194
6.45 5.95 0.00563564 -2.3856 1.00221
6.55 5.95 -0.00807043 -2.34147 1.00226
6.55 5.95 -0.027335 -2.29737 1.00151
6.65 5.95 -0.047389 -2.25322 0.999885
6.65 5.95 -0.068194 -2.21639 0.997853
6.65 5.95 -0.0885863 -2.17243 0.994573
6.7 5.95 -0.139222 -2.14075 0.99151
6.7 5.95 -0.171796 -2.13671 0.990955
6.7 5.95 -0.191892 -2.1362 0.990866
6.75 5.95 -0.211992 -2.13459 0.990541
6.75 5.95 -0.232099 -2.13244 0.99007
6.75 5.95 -0.251674 -2.12797 0.98898
6.85 5.95 -0.267254 -2.11732 0.986178
6.85 5.95 -0.282273 -2.10225 0.982025
6.85 5.95 -0.32503 -2.07984 0.975138
6.85 5.95 -0.389161 -2.06296 0.968975
6.85 5.95 -0.429573 -2.03481 0.956896
6.9 5.9 -0.466162 -2.01269 0.946371
6.9 5.9 -0.489918 -1.97956 0.929279
6.95 5.9 -0.500152 -1.95022 0.913319
6.95 5.9 -0.474929 -1.92042 0.897379
6.95 5.9 -0.434911 -1.89023 0.882564
7 5.85 -0.396242 -1.85954 0.868965
7 5.85 -0.355846 -1.8283 0.85658
7.1 5.8 -0.315808 -1.79663 0.845478
7.1 5.8 -0.277118 -1.76983 0.837144
7.1 5.8 -0.237037 -1.73197 0.826999
7.15 5.75 -0.198131 -1.70467 0.820849
7.15 5.75 -0.157203 -1.66616 0.813731
7.25 5.75 -0.117291 -1.63282 0.809049
7.25 5.75 -0.0784898 -1.60499 0.806164
7.25 5.75 -0.0384604 -1.57145 0.8039
7.35 5.75 0.00146501 -1.5378 0.802979
7.35 5.75 0.0400069 -1.49872 0.803567
7.45 5.75 0.0742849 -1.4651 0.805471
7.45 5.75 0.0887088 -1.43134 0.808247
7.5 5.75 0.086533 -1.39754 0.811246
7.5 5.75 0.0677736 -1.36362 0.813919
7.6 5.75 0.040347 -1.32942 0.815893
7.6 5.75 0.00103338 -1.30079 0.816635
7.65 5.75 -0.0388782 -1.26083 0.8161
7.65 5.75 -0.0789116 -1.22651 0.814156
7.7 5.75 -0.120885 -1.19246 0.810883
7.7 5.75 -0.160901 -1.15845 0.806139
7.8 5.75 -0.203073 -1.12461 0.800024
7.8 5.75 -0.261179 -1.09108 0.79225
7.95 5.75 -0.323069 -1.06354 0.784207
7.95 5.75 -0.383008 -1.02568 0.770613
8 5.75 -0.442759 -0.994021 0.756873
8 5.75 -0.504835 -0.963349 0.7413
8 5.75 -0.550997 -0.933597 0.723985
8 5.75 -0.576693 -0.904671 0.705683
8.05 5.7 -0.590985 -0.876274 0.686901
8.05 5.7 -0.584779 -0.852794 0.671137
8.05 5.7 -0.56464 -0.8245 0.652632
8.1 5.65 -0.545795 -0.791109 0.631813
8.1 5.65 -0.525588 -0.762108 0.614545
8.2 5.6 -0.505406 -0.732712 0.597844
8.2 5.6 -0.486721 -0.703049 0.581766
8.25 5.6 -0.452719 -0.67306 0.566398
8.25 5.6 -0.412209 -0.64259 0.552252
8.3 5.55 -0.37346 -0.611624 0.539346
8.3 5.55 -0.333676 -0.58532 0.529471
8.3 5.55 -0.291149 -0.548149 0.517195
8.35 5.5 -0.235072 -0.521417 0.509743
8.35 5.5 -0.175192 -0.488753 0.502492
