x_slam y_slam yaw_imu x_odom y_odom
4.5 4.5 -3.06032e-06 -2.00002 -0.5
4.5 4.5 -1.25295e-06 -2.00002 -0.499999
4.5 4.5 5.54522e-07 -2.00002 -0.499999
4.5 4.5 2.40721e-06 -2.00002 -0.499999
4.5 4.5 4.16955e-06 -2.00002 -0.499999
4.5 4.5 5.97711e-06 -2.00002 -0.499999
4.5 4.5 7.78469e-06 -2.00002 -0.499999
4.5 4.5 9.5923e-06 -2.00002 -0.499999
4.5 4.5 1.13999e-05 -2.00002 -0.499999
4.5 4.5 1.32076e-05 -2.00002 -0.499999
4.5 4.5 1.50153e-05 -2.00002 -0.499998
4.5 4.5 1.71541e-05 -1.99921 -0.499998
4.5 4.5 1.87818e-05 -1.99721 -0.499998
4.5 4.5 1.97019e-05 -1.99521 -0.499998
4.5 4.5 2.02502e-05 -1.99077 -0.499998
4.5 4.5 2.81078e-06 -1.98297 -0.499998
4.5 4.5 -3.8295e-05 -1.96559 -0.499998
4.5 4.5 -0.000162266 -1.94581 -0.500006
4.5 4.5 -0.000130088 -1.92152 -0.500004
4.5 4.5 -0.00020881 -1.89027 -0.500009
4.5 4.5 -0.000368999 -1.85388 -0.50002
4.5 4.5 -0.000597071 -1.81276 -0.500042
4.5 4.5 -0.000685199 -1.76875 -0.500069
4.5 4.5 -0.00092483 -1.72479 -0.500105
4.7 4.45 -0.000937475 -1.6808 -0.500146
4.7 4.45 -0.00116384 -1.6368 -0.500191
4.7 4.45 -0.00124682 -1.59284 -0.500246
4.8 4.5 -0.00132599 -1.54882 -0.500302
4.8 4.5 -0.00162445 -1.50488 -0.50037
4.8 4.5 -0.00165734 -1.46087 -0.500442
4.9 4.5 -0.002066 -1.41691 -0.500522
4.9 4.5 -0.00205484 -1.37292 -0.500612
4.9 4.5 -0.00223944 -1.32891 -0.500705
5.05 4.5 -0.0025342 -1.28496 -0.500816
5.05 4.5 -0.00259757 -1.24821 -0.50091
5.05 4.5 -0.00310202 -1.20426 -0.501033
5.2 4.5 -0.00312328 -1.153 -0.501192
5.2 4.5 -0.00375542 -1.11629 -0.501308
5.2 4.5 -0.00374211 -1.07957 -0.501446
5.3 4.5 -0.00385021 -1.02829 -0.501639
5.3 4.5 -0.00447339 -0.984363 -0.501825
5.3 4.5 -0.00452697 -0.933091 -0.502055
5.45 4.5 -0.00533431 -0.90367 -0.502192
5.45 4.5 -0.00534738 -0.852423 -0.502465
5.45 4.5 -0.00625368 -0.808427 -0.502699
5.55 4.5 -0.0062926 -0.757231 -0.503019
5.55 4.5 -0.00637654 -0.727738 -0.503205
5.55 4.5 -0.00732791 -0.676558 -0.503552
5.7 4.5 -0.0073739 -0.632555 -0.503875
5.7 4.5 -0.00842039 -0.581368 -0.504265
5.7 4.5 -0.00842678 -0.544637 -0.504574
5.85 4.5 -0.00922232 -0.500625 -0.504946
5.85 4.5 -0.00953533 -0.456715 -0.505352
5.85 4.5 -0.00960977 -0.412701 -0.505772
5.95 4.5 -0.0106618 -0.368789 -0.50621
5.95 4.5 -0.010699 -0.332053 -0.506602
5.95 4.5 -0.0117997 -0.280859 -0.507151
6.1 4.5 -0.0117968 -0.236876 -0.507669
6.1 4.5 -0.0124131 -0.19286 -0.50819
6.1 4.5 -0.0129089 -0.148956 -0.50874
6.25 4.5 -0.0129764 -0.112211 -0.509215
6.25 4.5 -0.0140367 -0.0610326 -0.509892
6.25 4.5 -0.0140657 -0.0170391 -0.51051
6.35 4.5 -0.015176 0.0341484 -0.511236
6.35 4.5 -0.0137253 0.0636132 -0.511683
6.35 4.5 0.0023064 0.114757 -0.512194
6.5 4.5 0.0215666 0.158498 -0.511815
6.5 4.5 0.0459902 0.209494 -0.510254
6.5 4.5 0.110853 0.245471 -0.50777
6.6 4.5 0.21702 0.295008 -0.500052
6.6 4.5 0.344398 0.329485 -0.490532
6.6 4.5 0.496475 0.368779 -0.474156
6.75 4.5 0.667102 0.41038 -0.447631
6.75 4.5 0.860608 0.436263 -0.423662
6.75 4.5 1.09068 0.460982 -0.389956
6.85 4.55 1.34854 0.477174 -0.352072
6.85 4.55 1.65713 0.484263 -0.318664
6.85 4.55 1.98808 0.483427 -0.292783
6.95 4.6 2.26883 0.473407 -0.269041
6.95 4.6 2.50073 0.462439 -0.257938
6.95 4.6 2.65898 0.450157 -0.249784
6.95 4.7 2.73278 0.441479 -0.245513
6.95 4.7 2.72945 0.437518 -0.243806
6.95 4.7 2.6799 0.436054 -0.243151
6.95 4.7 2.58669 0.432742 -0.241412
6.95 4.7 2.45389 0.428673 -0.238687
6.95 4.7 2.26019 0.425774 -0.236045
6.95 4.75 2.04561 0.42347 -0.232876
6.95 4.75 1.81427 0.421856 -0.229137
6.95 4.75 1.72552 0.420462 -0.22256
6.9 4.75 1.70914 0.419956 -0.219191
6.9 4.75 1.70997 0.419648 -0.216992
6.9 4.75 1.71076 0.419464 -0.215675
6.9 4.75 1.71494 0.418707 -0.210386
6.9 4.75 1.71625 0.417214 -0.200151
6.9 4.75 1.71647 0.414908 -0.18442
6.9 4.8 1.71176 0.412398 -0.167266
6.9 4.8 1.70897 0.408251 -0.137744
6.9 4.8 1.72273 0.403945 -0.107448
6.9 4.85 1.72295 0.398354 -0.0711177
6.9 4.85 1.7191 0.3921 -0.0296386
6.9 4.85 1.71995 0.385586 0.0138051
6.85 4.9 1.71972 0.37905 0.0573146
